success,termination_reason,steps,total_time_s,path_length_m,straight_line_distance_m,extra_distance_ratio,normalized_time_ratio,final_goal_distance_m,min_person_distance_m,collision_steps,hazard_steps_lt_social_distance,hazard_time_ratio,hazard_ratio_given_social_presence,sidewalk_violation_steps,sidewalk_violation_ratio,mean_speed_mps,mean_abs_yaw_rate_radps,mean_abs_accel_mps2,mean_abs_jerk_mps3,seed,algorithm
False,collision,540,269.5,212.637,295.8,0.7189,0.7289,84.329,0.189,1,21,0.0389,0.0402,0,0.0,0.788,0.056,0.021,0.06,85,dwa
False,collision,584,291.5,226.308,295.8,0.7651,0.7884,70.779,0.203,1,65,0.1113,0.1123,0,0.0,0.776,0.056,0.047,0.162,86,dwa
False,collision,520,259.5,203.92,295.8,0.6894,0.7018,92.702,0.184,1,52,0.1,0.1053,0,0.0,0.785,0.047,0.018,0.059,87,dwa
False,collision,542,270.5,214.89,295.8,0.7265,0.7316,81.467,0.226,1,14,0.0258,0.0268,0,0.0,0.794,0.043,0.014,0.043,88,dwa
False,collision,538,268.5,212.69,295.8,0.719,0.7262,83.986,0.206,1,19,0.0353,0.0353,0,0.0,0.791,0.047,0.017,0.054,89,dwa
False,collision,542,270.5,211.71,295.8,0.7157,0.7316,85.275,0.145,1,18,0.0332,0.0359,0,0.0,0.782,0.054,0.025,0.084,90,dwa
False,collision,45,22.0,17.31,295.8,0.0585,0.0595,278.53,0.114,1,3,0.0667,0.0667,0,0.0,0.778,0.037,0.053,0.141,91,dwa
False,collision,544,271.5,211.767,295.8,0.7159,0.7343,86.486,0.233,1,31,0.057,0.057,0,0.0,0.779,0.07,0.027,0.085,92,dwa
False,collision,559,279.0,218.438,295.8,0.7385,0.7546,79.973,0.221,1,22,0.0394,0.0394,0,0.0,0.782,0.07,0.031,0.099,93,dwa
False,collision,527,263.0,205.96,295.8,0.6963,0.7113,90.682,0.094,1,24,0.0455,0.0463,0,0.0,0.782,0.052,0.027,0.085,94,dwa
False,collision,589,294.0,232.27,295.8,0.7852,0.7951,64.157,0.29,1,45,0.0764,0.0767,0,0.0,0.789,0.046,0.028,0.101,95,dwa
False,collision,53,26.0,20.54,295.8,0.0694,0.0703,275.302,0.086,1,3,0.0566,0.0566,0,0.0,0.783,0.045,0.04,0.1,96,dwa
False,collision,147,73.0,57.92,295.8,0.1958,0.1974,238.225,0.186,1,10,0.068,0.068,0,0.0,0.791,0.054,0.023,0.065,97,dwa
False,collision,170,84.5,65.44,295.8,0.2212,0.2285,231.213,0.173,1,9,0.0529,0.0529,0,0.0,0.772,0.179,0.078,0.28,98,dwa
False,collision,540,269.5,211.22,295.8,0.7141,0.7289,87.033,0.204,1,43,0.0796,0.0822,0,0.0,0.783,0.056,0.024,0.081,99,dwa
False,collision,524,261.5,206.52,295.8,0.6982,0.7072,90.257,0.086,1,21,0.0401,0.0401,0,0.0,0.789,0.049,0.018,0.055,100,dwa
False,collision,576,287.5,224.574,295.8,0.7592,0.7776,75.409,0.159,1,30,0.0521,0.0521,0,0.0,0.78,0.077,0.037,0.122,101,dwa
